FACULTAD DE TELEMÁTICA,,,,,,,,,,,
HORARIOS SEMESTRE ENERO 2014 - JULIO 2014,,,,,,,,,,,
GPO,UNIDAD DE APRENDIZAJE,HCA,PROFESOR/A,L,M,Mi,J,V,LUGAR,,
6J,INGLÉS,3,RAMOS MADRIGAL ABEL,,,8,,,Auditorio 1,,
6J,SIMULACIÓN E INVESTIGACIÓN DE OPERACIONES,4,SÁNCHEZ GONZÁLEZ LIBIA,,,,,6,Auditorio 1,,
6J,SIMULACIÓN E INVESTIGACIÓN DE OPERACIONES,4,SÁNCHEZ GONZÁLEZ LIBIA,,,7,,,Auditorio 1,,
6J,INGLÉS,3,RAMOS MADRIGAL ABEL,,,,7,,Auditorio 2,,
6J,INGLÉS,3,RAMOS MADRIGAL ABEL,,7,,,,Auditorio 3,,
6J,SEMINARIO DE INVESTIGACIÓN I,3,COBIÁN ALVARADO MÓNICA,,,,,5,Auditorio 4,,
6J,BASES DE DATOS DISTRIBUIDAS,3,RANGEL ALCANTAR ERICK,,11,,,,L C Básicas,,
6J,BASES DE DATOS DISTRIBUIDAS,3,RANGEL ALCANTAR ERICK,,,,12/13,,L D Software,,
6J,PROGRAMACIÓN EN INTERNET,4,ULIBARRI IRETA CARLOS,,,,,3/4,L D Software,,
6J,SEMINARIO DE INVESTIGACIÓN I,3,COBIÁN ALVARADO MÓNICA,,,5,,,L Cómp Móv,,
6J,SIMULACIÓN E INVESTIGACIÓN DE OPERACIONES,4,SÁNCHEZ GONZÁLEZ LIBIA,,8/9,,,,L Cómp Móv,,
6J,TESTEO Y MÉTODOS DE USABILIDAD,3,RODRÍGUEZ ORTIZ MIGUEL ÁNGEL,,10,,10/11,,L IH-C,,
6J,PROGRAMACIÓN EN INTERNET,4,ULIBARRI IRETA CARLOS,,,3/4,,,L IH-C,,
,,,,,,,,,,,
